Date,infections,deaths,recoveries,d_rate1,d_rate2
03/01/20,76,1,7,0.013157894736842105,0.14285714285714285
03/02/20,101,6,7,0.0594059405940594,0.8571428571428571
03/03/20,122,7,8,0.05737704918032787,0.875
03/04/20,153,11,8,0.0718954248366013,1.375
03/05/20,221,12,8,0.05429864253393665,1.5
03/06/20,278,14,8,0.050359712230215826,1.75
03/07/20,417,17,8,0.0407673860911271,2.125
03/08/20,537,21,8,0.03910614525139665,2.625
03/09/20,605,22,8,0.03636363636363636,2.75
03/10/20,959,28,8,0.029197080291970802,3.5
03/11/20,1281,36,8,0.02810304449648712,4.5
03/12/20,1663,40,12,0.024052916416115455,3.3333333333333335
03/13/20,2179,47,12,0.021569527306103717,3.9166666666666665
03/14/20,2726,54,12,0.019809244314013204,4.5
03/15/20,3499,63,12,0.018005144326950558,5.25
03/16/20,4632,85,17,0.018350604490500865,5.0
03/17/20,6421,108,17,0.01681980999844261,6.352941176470588
03/18/20,7786,118,106,0.015155407141022348,1.1132075471698113
03/19/20,13680,200,108,0.014619883040935672,1.8518518518518519
03/20/20,19101,244,147,0.012774200303649024,1.6598639455782314
03/21/20,25514,307,171,0.012032609547699302,1.7953216374269005
03/22/20,33848,427,171,0.012615220987946112,2.497076023391813
03/23/20,43663,552,171,0.012642282939788837,3.2280701754385963
03/24/20,53736,706,348,0.013138305791275867,2.028735632183908
03/25/20,65778,942,361,0.014320897564535254,2.6094182825484764
03/26/20,83836,1209,681,0.014421012452884203,1.775330396475771
03/27/20,101657,1581,869,0.015552298415259156,1.8193325661680093
03/28/20,121465,2026,1072,0.016679701971761413,1.8899253731343284
03/29/20,140909,2467,2665,0.017507753230808536,0.925703564727955
03/30/20,161831,2978,5644,0.018401913106883105,0.5276399716513112
03/31/20,188172,3873,7024,0.020582233275939034,0.5513952164009112
04/01/20,213372,4757,8474,0.02229439664060889,0.561364172763748
04/02/20,243599,5926,9001,0.024326865052812202,0.658371292078658
04/03/20,275586,7087,9707,0.025716110397480278,0.7300916864118677
04/04/20,308853,8407,14652,0.027220069094358805,0.5737783237783238
04/05/20,337072,9619,17448,0.02853692979541463,0.5512952773956901
04/06/20,366667,10783,19581,0.02940815508349538,0.5506868903528931
04/07/20,396223,12722,21763,0.03210818150385011,0.5845701419841015
04/08/20,429052,14695,23559,0.03424992774768559,0.6237531304384736
04/09/20,461437,16478,25410,0.03571018362203291,0.6484848484848484
04/10/20,496535,18586,28790,0.03743139959922261,0.6455713789510247
04/11/20,526396,20462,31270,0.03887187592610886,0.6543652062679884
04/12/20,555313,22019,32988,0.03965151185007374,0.6674851461137383
04/13/20,580619,23528,43482,0.04052227019784058,0.5410974656179569
04/14/20,607670,25831,47763,0.04250826929089802,0.5408161128907313
04/15/20,636350,28325,52096,0.044511668107173726,0.5437077702702703
04/16/20,667801,32916,54703,0.04929013283897449,0.6017220262142844
04/17/20,699706,36773,58545,0.05255493021354683,0.6281151251174311
04/18/20,732197,38664,64840,0.052805460825433595,0.5962985811227637
04/19/20,759086,40661,70337,0.05356573563469752,0.5780883461051793
04/20/20,784326,42094,72329,0.053669010079992245,0.5819795655960956
